"","logFC","logCPM","F","PValue","FDR"
"KRT18",-2.47692843517195,7.78758586376274,319.000771049707,2.28018622929627e-14,3.20024137281732e-10
"LPXN",1.89343042158478,5.60593435942617,277.806869584179,9.14368648753855e-14,6.41658199263018e-10
"IL6",-1.97495634242889,5.74747911082419,264.065790402942,1.51710458775213e-13,7.09752096303373e-10
"H2BC4",1.83089704205848,6.26051177864719,249.705597005566,2.6452696878879e-13,8.52666565989591e-10
"GEM",-2.14398548326725,4.13597314120455,241.966111132308,3.61395514811556e-13,8.52666565989591e-10
"GPX3",1.92685900980916,5.85465618200772,241.755948046256,3.6451723519327e-13,8.52666565989591e-10
"USP53",2.03296304996528,6.64321427199587,237.841492193623,4.28394534274793e-13,8.5893104122096e-10
"H1-2",1.51736087696514,7.80376109900519,219.34208195032,9.51310446899748e-13,1.66895526527974e-09
"PLAT",2.40190141469421,8.85223571770631,213.418426877366,1.24434716029663e-12,1.9404902660848e-09
"H2BC12",1.22504951570203,7.25102416787614,190.865226070098,3.6960481726584e-12,5.07423654731447e-09
"CSF2RB",6.38005701214046,4.00706934808898,189.428253063204,3.97695774994365e-12,5.07423654731447e-09
"H4C8",1.12564601183644,3.88153932482011,177.782160093838,7.34050303754135e-12,8.58533001099107e-09
"SRPX2",0.864974078129623,6.93891948450173,166.309160196858,1.39221279193042e-11,1.50305434882642e-08
"UACA",0.943402850314574,8.45218343838614,157.465454122186,2.343700807503e-11,2.34956005952176e-08
"CNN1",-1.89206403559106,4.53059396536771,155.393810197327,2.65775393406941e-11,2.48677176431095e-08
"ACAN",-4.28051775393942,5.52739366852241,152.405882772078,3.19467855636706e-11,2.80233209616323e-08
"ULBP1",2.50268982114934,2.6155600981014,150.409156641656,3.61912942035008e-11,2.98791067144785e-08
"ZNF281",-1.44624576487251,5.7426817932882,141.224614204462,6.55022489666819e-11,5.10735591248544e-08
"CDCP1",-3.52784520550541,3.48430026005038,138.978978532285,7.61169686212848e-11,5.62264028736701e-08
"NTF3",3.59130592319178,4.36524963583115,134.137580991798,1.05995496242166e-10,7.39917418677745e-08
"C1S",-1.32914244145225,8.40356797152887,133.512239873603,1.10710835712381e-10,7.39917418677745e-08
"MLLT11",1.27258727387386,7.22823677741406,130.262445649016,1.39212700163996e-10,8.88113748546218e-08
