"","logFC","logCPM","F","PValue","FDR"
"COL7A1",-1.74754298350756,5.10663564068546,74.1424430257275,2.07429124143856e-08,1.18234600761998e-06
"TMA7",0.723280050169285,6.92970076425024,62.8104108474381,8.18074224818535e-08,2.33151154073282e-06
"SEMA3F",-1.47830669365045,3.41501858659254,49.6368073918804,5.22307582414198e-07,9.92384406586977e-06
"SLC25A20",0.591523067743253,5.86600933037104,39.7697416960243,2.68117204261342e-06,3.82067016072412e-05
"TCTA",0.432277041613256,7.30875932769477,35.8863400560462,5.50671913920431e-06,6.27765981869292e-05
"LAMB2",-0.685832547355815,9.31941390428573,29.1389912824043,2.18877350536987e-05,0.000207933483010138
"SLC26A6",-0.646506692306891,4.64751715753283,26.1056660108759,4.33955572024663e-05,0.000353363822934368
"UBA7",-0.840738231464316,4.10465763811188,25.1639939195038,5.41751029115818e-05,0.00038599760824502
"P4HTM",-1.73596074590513,4.42447610223275,22.8237278416371,9.60467805494501e-05,0.000608296276813184
"PFKFB4",0.571926053731079,3.97518118867606,18.8715561153856,0.000273005744881638,0.00155613274582534
"DAG1",-0.565751428024925,5.93778470546989,18.0088534390046,0.000348011592294559,0.00180333279643544
"HYAL3",0.675638235198136,3.2272887278716,16.855636053567,0.000485864880209334,0.00230785818099434
"IP6K2",0.425628457629932,6.10535149789381,16.0693994769872,0.000613897822721982,0.00269170583808869
"SEMA3B",-2.47677480409897,2.55831301837409,13.1926787244678,0.00151731137077022,0.00617762486670733
"RASSF1",0.314467545781289,6.03583370960776,12.7686008114603,0.00174629030312457,0.00663590315187337
"SHISA5",0.268956171643895,7.92888388706028,11.9758646522461,0.00228344376594133,0.00813476841616598
"PLXNB1",-0.641125013489912,3.69661813218441,10.2284679958689,0.00423779332387679,0.0142090717329987
"RHOA",0.178957185358199,10.1178788021383,9.78255900204394,0.00499464678197187,0.0158163814762442
"KLHDC8B",0.321628344083062,4.85173126097213,9.54850700212063,0.00545079697886669,0.0163523909366001
"CCDC71",-0.908056725334472,0.329628116698512,8.64178466810804,0.0077072948732198,0.0219657903886764
"SLC38A3",-1.97495852772696,0.13847429562324,6.43685361613125,0.0189817651452375,0.0515219339656448
"RBM6",-0.232429105712919,5.11851697257839,5.26575916610066,0.0319149356907096,0.0818327936524808
"PRKAR2A",-0.271852414464861,4.66020192408019,5.19157992792264,0.0330202500702993,0.0818327936524808
"NCKIPSD",-0.63534357326142,3.33904376363058,4.32776065340341,0.0496482315500297,0.11791454993132
"APEH",-0.173003313037073,6.73804007855841,3.8999128851851,0.0612855144049998,0.1397309728434
"IP6K1",0.256127649622704,5.1550488332024,3.7629113904919,0.0656489539280874,0.143922706688499
"RBM5",-0.236126689682827,5.50320398193725,3.56103912419522,0.0727439136826528,0.153570484441156
"IMPDH2",-0.147315171232622,6.3643898662979,3.38969305285758,0.0794643518268159,0.161766716218875
"CCDC51",0.182377592368831,4.63096030229413,2.93441700963212,0.101113459558769,0.198740248098271
"NDUFAF3",0.252956950272602,6.82216420702034,2.63632241275905,0.119035284046254,0.217706734593781
"DALRD3",-0.643739255162914,3.3835749750487,2.60370960777381,0.121214470245109,0.217706734593781
"UQCRC1",-0.355849455424559,7.7838782101267,2.58887466950688,0.122221324684228,0.217706734593781
"GNAI2",-0.61090505167961,8.04245985715473,2.42338693279387,0.134153073995383,0.231718945992025
"QARS1",-0.147837943447598,6.9139066444067,2.08569713492665,0.163118000315904,0.273462529941368
"ARIH2OS",0.224629924083412,1.10392407943922,1.81890290655248,0.191497024327754,0.311866582476628
"CELSR3",-0.707911496885694,0.26897242234514,1.63016965025541,0.215314821381491,0.340915133854027
"ARIH2",-0.163977453661927,5.78441967915161,1.56298794934621,0.224681786287245,0.346131400496567
"GPX1",-0.106594013284462,7.82236077001884,1.46175308359987,0.239796099463003,0.359694149194504
"HYAL2",-0.395127478699233,5.99674096894996,1.30228098863262,0.266364533520983,0.389302010530667
"WDR6",0.105227788048055,7.11317367581257,1.0900399999534,0.308074279649229,0.439005848500152
"USP19",-0.14814138811385,5.14012316839311,0.911074770919827,0.350452130526758,0.48721393756159
"USP4",0.0834474451725068,5.97408735368919,0.866297161678487,0.362329277131346,0.491732590392541
"GMPPB",-0.233716178119604,5.20794747703597,0.790382191121676,0.383836139438212,0.508806045301816
"INKA1",0.113540456929689,2.90076096167775,0.505854187249336,0.484594170092593,0.623401323000057
"IFRD2",-0.254760187790233,5.16684476136441,0.464820836884758,0.502667529615047,0.623401323000057
"TRAIP",-0.17835188262263,1.19178131776528,0.463879612710412,0.503095804526362,0.623401323000057
"NAA80",0.111533094014034,2.37689419297175,0.394520864480964,0.5365563804745,0.650717312490351
"QRICH1",0.0507490786234271,5.51019444906966,0.354801631729911,0.55763421834436,0.662190634283927
"AMT",-0.24031974786745,0.994313785815088,0.319676552761485,0.577662636751167,0.671974903975847
"C3orf62",-0.145591281998464,0.47565217793095,0.128341066512972,0.723656145977649,0.82496800641452
"IHO1",0.0907087327215,2.14812999967542,0.0426979254113142,0.838241903268405,0.922909900902498
"AMIGO3",0.0723381961055242,0.31634112971856,0.0355627297189541,0.852192261864664,0.922909900902498
"NICN1",-0.0294940169486424,2.89459347624624,0.032724026539212,0.858144293821621,0.922909900902498
"MST1",0.0468759803944552,0.947816747573901,0.0223100189878013,0.882659298296073,0.931695925979188
"TUSC2",-0.0593873179782558,4.19687556362071,0.01089273770767,0.917845807822842,0.9512220190164
"RNF123",0.00494965133547207,5.37432110892653,0.00145904291684038,0.969883178545285,0.983575390991874
"MON1A",-0.0094774701456527,3.63258736179998,0.000433795028659661,0.983575390991874,0.983575390991874
