"","logFC","logCPM","F","PValue","FDR"
"SPP1",-6.55487815988317,6.91564007424976,294.271166969602,5.13592086687162e-14,6.69535176360631e-10
"PAX8-AS1",6.41896436735674,5.51333204272335,276.627613106125,9.54093589398833e-14,6.69535176360631e-10
"TGFB2",3.53745850269023,5.67133425525833,245.727950367248,3.10186940997645e-13,1.45115790563398e-09
"MGP",-4.92280698194201,4.14693424531763,206.464093764147,1.72061056789342e-12,6.03719233009604e-09
"ALX1",-6.48349134725025,2.60789236934935,199.373484719028,2.41933219944577e-12,6.79106548384429e-09
"SLC7A8",-3.35772883076416,5.36162374527607,143.64975342597,5.58248906013365e-11,1.3058372326496e-07
"SLC17A9",2.66775222982919,5.87593017174281,121.803514603187,2.58860752727094e-10,5.19015809217823e-07
"SLC22A23",1.84042222589287,4.29285434256912,113.897281909236,4.78374708067091e-10,8.39248628465203e-07
"SYNPO2",3.11533685689473,5.82870349268034,107.012846805567,8.41652091485658e-10,1.19546154707033e-06
"ULBP1",4.33973976382652,2.6155600981014,105.887963625108,9.25725283745505e-10,1.19546154707033e-06
"HSPA4L",-3.03240586078956,3.34836460590215,105.746294148402,9.36948843446644e-10,1.19546154707033e-06
"UACA",1.47343669836507,8.45218343838614,94.3540618472734,2.58880087115734e-09,3.02781835222444e-06
"BEX1",10.8031340593465,2.97337643430023,91.9747778711407,3.24199806699277e-09,3.26838398697656e-06
"CLU",-1.82644103482245,6.55072928475192,91.9160999235283,3.26023340346789e-09,3.26838398697656e-06
"AKR1B1",-1.57221401400168,8.5043258920824,89.0132836446769,4.31892456760084e-09,4.04107375375185e-06
"APOL1",3.3411953756386,3.68055385445783,88.1810375593556,4.68801760497929e-09,4.11227044286778e-06
"AKR1B10",-3.3394669504189,4.34982733388808,84.0851832008062,7.08508720869509e-09,5.84936464553151e-06
"SLC17A5",-1.36590248433989,6.80911754243357,82.7306222164672,8.15108920285783e-09,6.35558538678387e-06
"QPCT",-3.47841050259356,4.99757504034522,81.79842697284,8.98614920103271e-09,6.63792652823653e-06
"MEG3",1.59321794265191,8.74103872478998,80.2173524286836,1.06245336417413e-08,7.45576648309196e-06
"PRRX1",-1.62990245609787,6.68172839150091,78.1667346107514,1.32548243334856e-08,8.85864092954621e-06
"GEM",-2.39596835665584,4.13597314120455,75.4875283077485,1.78218109354388e-08,1.13695052944947e-05
"GPX3",-2.19350736160277,5.85465618200772,73.1572535681388,2.32140212723408e-08,1.41655995024914e-05
"ERCC6",1.61812250876963,6.40470980557544,72.043082837201,2.64032253323271e-08,1.54403861474671e-05
"PAX8",5.1793171401745,2.20552060176273,71.4012729025906,2.84557122232949e-08,1.59750368421578e-05
"ZNF630",9.23591703269291,0.98375400489401,77.0567968472731,3.36115526582914e-08,1.81437746753508e-05
"PDE1C",1.42696368075617,6.24015709157413,69.5651525049598,3.53556451709984e-08,1.83783881472208e-05
"COX7A1",-2.5765293385526,6.3860638657731,68.5025143071491,4.01711955474637e-08,1.95556586351512e-05
"PORCN",2.35808507609769,5.50899708758272,68.4540840451965,4.04071321994574e-08,1.95556586351512e-05
"TMEM200A",-1.30029025410759,7.58607596943105,67.2765804952144,4.66364895643999e-08,2.14889695800157e-05
"CYBRD1",-1.73855657103193,8.8934229334555,67.1229886585856,4.75236564727411e-08,2.14889695800157e-05
"RHOBTB3",1.68872890035834,6.14746226157478,66.8750194480186,4.89951568621661e-08,2.14889695800157e-05
"HOXD8",-6.20611016243579,1.76065430098456,66.5766677840311,5.08320274456903e-08,2.16190153090989e-05
