"logFC","logCPM","F","PValue","FDR"
"ROBO1",5.39355007254439,4.25724561585083,281.033765618712,8.28316806838095e-16,1.1480470942776e-12
"MME",-3.66530767089434,5.66894977457897,257.663155228536,2.41462498159797e-15,1.3928394869657e-12
"LSAMP",-3.05872585259548,4.70877902734094,253.041605568629,3.01480408434135e-15,1.3928394869657e-12
"CDCP1",-5.92037747462512,3.4845840685531,195.962341330062,2.92643382675405e-13,1.01400932097028e-10
"COL7A1",-2.61398848895994,5.07573380969376,154.919749980242,1.05362541052086e-12,2.92064963796384e-10
"PLXND1",-2.1578806686975,5.8625556715431,140.432649362159,3.25617758510001e-12,7.52177022158102e-10
"FILIP1L",-3.44826700904401,3.68943347010224,130.725960114618,7.33757952876145e-12,1.45284074669477e-09
"SLC7A14",-4.2467734633084,4.37055746658979,138.605587539284,1.72153558577807e-11,2.9825604023605e-09
"LOC107986022",-3.00967238333594,2.34782226511455,119.682961932115,1.97073838392584e-11,3.03493711124579e-09
"CSTA",-3.93796066110453,2.29074892966785,108.088850537237,6.04941505437579e-11,8.38448926536484e-09
"CLEC3B",-2.83584337688422,3.3659069334226,95.3815374357452,2.32616256822759e-10,2.93096483596676e-08
"MYLK",-1.43130402981097,7.849032013718,94.0582402688952,2.69805669151704e-10,3.11625547870219e-08
"CBLB",-1.29362630287123,6.31053698005502,90.016030364465,4.28854854114486e-10,4.57225252155906e-08
"HACD2",-1.6207129790887,6.81494180252941,83.2311032087454,9.69407035658468e-10,9.59712965301883e-08
"OXTR",-6.26619444885444,6.18153164734721,146.482405991671,1.05881585842052e-09,9.78345853180561e-08
"PPARG",-4.21987694532981,2.17239448494712,80.578931389528,1.3520845448699e-09,1.15830633644276e-07
"OSTN-AS1",2.58900694078885,2.49864434514701,80.1897846053689,1.42072205768593e-09,1.15830633644276e-07
"PTPRG",-1.74711335801971,4.97693399071152,78.4167288451132,1.78445735671025e-09,1.37403216466689e-07
"PRKCD",-3.11493026034955,3.52105770260616,80.1045449293384,2.01414556768156e-09,1.46926618779297e-07
"RNF7",1.08122714565191,6.99591857995949,71.9774245843312,4.22500913503353e-09,2.92793133057824e-07
"SLC4A7",-1.72940072813092,6.02378084547183,71.3753327421266,4.59287504784158e-09,2.97301449973003e-07
"XIRP1",-9.39683366509504,0.906830841993889,91.8378233904188,4.71907063449211e-09,2.97301449973003e-07
"SEMA3F",-2.71214120451418,3.37164461328283,66.5513500541417,9.14104315065301e-09,5.50847208991525e-07
"CNTN3",4.13773104423878,2.46149088062282,59.6453633889835,2.61477174594341e-08,1.51003068328232e-06
"LINC00888",1.79947518109773,3.84386932529691,55.8751122707619,4.81457096521155e-08,2.58895924706684e-06
"FOXP1",-1.36177303271028,5.44121372321098,55.8226189995961,4.8566335082062e-08,2.58895924706684e-06
"COX17",1.30890245567001,5.66118012033476,52.8376548755255,8.04049012074121e-08,4.12745159531382e-06
"PIGX",-2.54547426739727,2.92107437581135,51.5618296811924,1.00330689480361e-07,4.96636912927785e-06
"BRK1",1.06399847264055,7.8673495535644,50.8013551914501,1.14686024990768e-07,5.42261475222988e-06
"CHST2",-3.0863755314873,2.57585828065486,52.1850261279145,1.17372613684629e-07,5.42261475222988e-06
"ABCC5",1.25650027791783,5.5773716012636,49.3533284976596,1.48498733156062e-07,6.63933045659039e-06
"TMA7",1.09422665062816,6.95473485233582,48.5870794304499,1.7060387587394e-07,7.38928037379003e-06
"PTX3",-5.07956667299526,8.91569092704582,73.9264064328538,1.83166724564531e-07,7.6930024317103e-06
"PARP3",1.21744778548501,5.63614901536105,47.0394186581733,2.26804359777934e-07,8.98208521602806e-06
"STT3B",-2.10241486052777,7.22943606037735,58.8871929988978,2.26820333738082e-07,8.98208521602806e-06
"DPH3",1.10702422389775,6.18948499348424,46.6109620544916,2.45672303928127e-07,9.45838370123287e-06
"SUSD5",-1.38793289641382,4.71411452027299,45.4044896392684,3.08466411336735e-07,1.15549850300734e-05
"EPHA3",2.30472752733501,3.2082093252677,44.6584278744822,3.55785471502996e-07,1.29768069342935e-05
"RBM15B",-2.1547038166433,3.69037871884799,44.5547226621799,3.92447866339998e-07,1.39469934037753e-05
"MASP1",1.95029266008289,4.43336924217063,43.9697710799738,4.06436229161907e-07,1.40830153404601e-05
"ARHGAP31",-1.36152837288023,4.80597870305477,42.748619577091,5.16332386252217e-07,1.7454553349892e-05
"ALCAM",-1.23926840710255,8.30496568897122,42.2880724389238,6.09126482996406e-07,2.01011739388814e-05
"C3orf52",-1.57953988715348,2.3997431737022,41.2488772208834,6.96913106946361e-07,2.24632922378525e-05
"ANAPC13",1.03006926489063,7.12727611097879,40.2337788530528,8.57091560752072e-07,2.69983841636903e-05
"SLC35G2",-1.1377488047637,4.84165755252462,38.2860095143485,1.28655838265074e-06,3.92546980759749e-05
