"","logFC","logCPM","F","PValue","FDR"
"SNRPC",-0.917933338572866,6.81941326695442,33.5068402429863,8.77898936459321e-06,0.000184358776656458
"SCUBE3",2.52892175735724,6.97677586605091,10.115927875535,0.00441607215645822,0.0445956401195931
"ILRUN-AS1",-1.21881097931173,0.60136960292888,8.39345598120408,0.00849365164506383,0.0445956401195931
"SMIM29",-0.41722940954328,5.64341035412442,8.39322967170213,0.00849440764182725,0.0445956401195931
"IFITM3P3",-1.24866903746926,-0.685474339059594,6.92653967903956,0.015414390468059,0.0647404399658479
"ZNF76",0.399113323675534,4.24948737985666,6.1288222602645,0.0216943512065178,0.0759302292228124
"ANKS1A",0.605390003816863,3.37663565184494,4.78151194635245,0.0399661021324292,0.113574058330616
"TEAD3",-0.628942598245311,3.67435439401039,4.61403714389711,0.0432663079354728,0.113574058330616
"RPS10P13",-1.08316844070559,-0.472475935633095,4.33782853874064,0.0494064282534853,0.115281665924799
"UHRF1BP1",0.721442532626714,3.05163517318013,3.08575117402652,0.0932336774716152,0.195790722690392
"FKBP5",-0.811091777072816,2.06464593196139,1.78798985031558,0.195164880596883,0.372587499321323
"PPARD",-0.324985321042088,5.32090307321645,1.17970218477226,0.289459703499649,0.485412955597782
"RPS10",0.88204912825655,-0.124325677227533,1.12564757034035,0.300493734417674,0.485412955597782
"ILRUN",-0.158605017108127,4.94830767233626,0.90321536291949,0.352496160174603,0.528744240261904
"FANCE",-0.586687195381126,0.907211789739596,0.746903457275802,0.397010144164626,0.555814201830476
"TAF11",-0.162885164678782,4.68828029827273,0.646714830794607,0.430103419332156,0.564510737873455
"NUDT3",0.133334596000372,4.49255177957066,0.569109932137589,0.458806813216873,0.566761357503196
"HMGA1",-0.54976554805041,4.14952053004743,0.454723243195255,0.507295883694057,0.570805791139793
"RPL10A",-0.104973345912079,6.50253439817082,0.435239504109989,0.516443334840765,0.570805791139793
"RPL35P2",-0.152707284121351,3.22682003860696,0.234417033065373,0.633169277843038,0.66482774173519
"CYCSP55",0.10190993116406,-0.446330347327424,0.0428829439293104,0.837897011474618,0.837897011474618
