"logFC","logCPM","F","PValue","FDR"
"SOD2",-2.47702208526626,6.59561611539785,299.373817834656,2.71189694425616e-16,3.18919080644524e-13
"NRN1",10.7669275550374,2.87589285169899,313.799325244639,7.92405858335358e-16,4.6593464470119e-13
"SCUBE3",2.42654495210693,6.98253279433355,130.93626071471,5.90145292836331e-12,2.18313261729626e-09
"ULBP1",4.24851332464259,2.62035650291073,128.3251295202,7.42562114726619e-12,2.18313261729626e-09
"THBS2",-1.8127184882027,10.1579194543693,121.287827337511,1.40693419071319e-11,3.30910921655743e-09
"TMEM200A",-1.40028857304545,7.59957283292267,101.405879909039,1.02455083535066e-10,2.00811963728729e-08
"SLC17A5",-1.47011554054862,6.81322939129713,91.5822842080445,3.07355007397398e-10,5.16356412427628e-08
"TCF21",-6.38321435516064,3.54093186880629,117.041153379533,6.29723777008287e-10,9.25693952202182e-08
"SLC29A1",-1.62050519594472,4.85888112808485,82.9939243335814,8.68234380812323e-10,1.13449292426143e-07
"LAMA4",1.5753024303814,7.32861186069383,81.249500647195,1.0828737009686e-09,1.27345947233907e-07
"MROCKI",3.313966084708,2.68823782480609,73.4526319458431,3.04381743901827e-09,3.19874203089358e-07
"SLC22A23",1.74986126688749,4.29478637390216,72.9466481145527,3.26402248050365e-09,3.19874203089358e-07
"SOX4",-1.57400871286418,4.63984140841631,67.8653915252726,6.71895846925853e-09,6.0780731998831e-07
"TFAP2A",3.97100051460554,2.38778122467018,61.4738106821265,1.76526452403774e-08,1.4828222001917e-06
"TBX18",-2.8070394142851,2.09215554270893,51.9665032164835,8.54137449610436e-08,6.69643760494582e-06
"CMAHP",1.75745202363696,4.00146549941823,43.8367579269306,3.8666961780688e-07,2.84202169088057e-05
"AKAP12",-1.34253155765053,5.93773051699389,43.0558107570582,4.51180621887602e-07,3.12110830199894e-05
"TDP2",-1.34464472342006,5.2404281079024,41.1514650978325,6.62252701745285e-07,4.32671765140253e-05
"FIG4",-1.44530810023635,4.83501404457687,39.655709664851,9.02249843385595e-07,5.58445166221821e-05
"SNRPC",-1.01163023347332,6.83618427061994,35.2867609818535,2.32356583696612e-06,0.000132561199465256
"ABRACL",-1.50162076408239,3.98385876762151,35.2039305857103,2.36716427616528e-06,0.000132561199465256
"SYNCRIP",-0.881200502407865,6.99559653123018,34.4909567834371,2.78089791392826e-06,0.000148651633944529
"SGK1",-0.934958714452526,7.22525506700956,34.0576427916471,3.06982242667468e-06,0.000156961355381279
"EXOC2",-1.10767422847068,5.07074167186842,31.3879199971854,5.73828864690224e-06,0.00028117614369821
"TSPYL1",-1.09606300921803,6.09980691804903,30.7889475155181,6.62990689073483e-06,0.000311870820140166
"EZR",-0.995373199370164,7.43790617633986,28.5370445429667,1.15759326223776e-05,0.000507024042539917
"H1-2",-0.859213785011049,7.84238126784267,28.5149171785005,1.16408581195389e-05,0.000507024042539917
"PSMB1",-0.820721466590238,8.14203798487421,27.5628172473822,1.48413550910273e-05,0.000623336913823147
"ORC3",-0.984437546814422,5.38673011734522,27.1820391048211,1.6375860902422e-05,0.000664069393836147
"RPF2",-1.09681657434788,5.08423473454969,25.8640113410331,2.31521024924171e-05,0.000907562417702751
"ULBP2",0.915049954489599,6.2440705600952,25.4399898402418,2.5930621195586e-05,0.000983690662129326
"DSP",0.762363486165653,8.06274211143443,24.8314608443526,3.05628562104601e-05,0.00112318496573441
"RRAGD",-1.85053133641758,1.79069941583085,23.9690147017506,3.87163914860237e-05,0.00137971140568375
"FNDC1",1.088758836633,6.99916627201057,23.6727546227438,4.28725532130842e-05,0.00148288595819374
"CDKN1A",-0.763343104297839,11.196963434091,23.4920033132865,4.42072234180222e-05,0.00148536270684555
"MCM3",-1.15715214984679,4.46306628667393,23.3550938281202,4.5933735936276e-05,0.00150050204058501
"HBS1L",-0.910083485762524,6.30517760046601,23.1417566047624,4.87702247772737e-05,0.0015501022794074
"EDN1",0.895378315774473,6.27188772082508,22.7084498087567,5.51283409349545e-05,0.00167836356649649
"TUBB",-0.833830418346903,5.04791962704393,22.6746806697652,5.56600162358529e-05,0.00167836356649649
"TCP1",-0.733527578949188,7.6944638789801,22.2968706759269,6.19993273917194e-05,0.00182278022531655
"ACAT2",-0.89840859865714,5.52427200717345,21.8251720708711,7.10253651815256e-05,0.00203721535252376
"H2BC12",-0.797780877525247,7.28647465683555,21.5897494837853,7.60505336058355e-05,0.00208469638851222
"VTA1",-0.949630167587582,6.49996506773039,21.5818277236466,7.62261434575045e-05,0.00208469638851222
"C6orf132",1.86705130755131,1.27045069450043,21.1776146536123,8.57925396824832e-05,0.00227912613245551
"PPIL4",-0.961593757025571,5.2355133695557,21.1218174712665,8.72114591500834e-05,0.00227912613245551
"H4C5",1.76036877327404,1.2313901972193,21.0245073343874,8.9746830349425e-05,0.00229439722806356
"SIM1",-6.36521190000787,-0.405027087362328,22.3950566924144,9.55926296774027e-05,0.00239184962767288
"SF3B5",-0.760319583624113,7.26763666980084,20.6750872454616,9.95252499617899e-05,0.00240204014970017
"TFAP2A-AS1",5.1585557318305,-0.57756476502168,20.6562162585223,0.000100085006237507,0.00240204014970017
"HSP90AB1",-0.686450003659848,10.1678729596082,20.1720931009638,0.000115668396213101,0.00272052067893214
"GTPBP2",0.905768055765766,4.24741722175164,19.9188984304903,0.000124842045763318,0.00287871070230709
"MAD2L1BP",-0.840033661925388,5.37934203439139,19.6997543700879,0.000133415434440799,0.00301120892146024
"FOXC1",1.6653161344882,1.86249650166796,19.6436882092347,0.000135709245610028,0.00301120892146024
"TRAF3IP2",-0.954255779489855,4.94066480493781,19.0912312223865,0.000160723821855986,0.00350020767597481
"ASF1A",-1.20525807257304,4.04344631169663,18.9800329459586,0.000166335180652096,0.003556548589943
"ETV7",1.85036959646812,2.20189034929352,18.3858404804403,0.000200122102600889,0.00420256415461866
"MRAP2",2.0933346167233,2.78259591878572,18.5724429813298,0.000218241763250428,0.00450267216811408
"CD109",-0.913890605974601,6.31852719479893,18.0226785458897,0.000224361110245217,0.00454911492497199
"CDC5L",-0.725432461861391,5.8426953417765,17.142669937915,0.000297242443387987,0.00592469683769954
"ECHDC1",-0.741468500660448,5.61091473529893,17.0181423884278,0.000309466910672875,0.00602238745625888
"NKAPL",1.72502027253441,1.33777351994566,16.9891924970047,0.000312385743904585,0.00602238745625888
"HDAC2",-0.988543479926086,6.49787234103901,16.8859397097057,0.000342169396283125,0.00649018080691863
"NEDD9",-0.726309781596918,6.34238276870251,16.6357047347146,0.000350520362151457,0.00654304676016053
"CAP2",-0.725675940842354,6.62320360787459,16.1965445492863,0.000405031089011985,0.00744244626059522
"BCLAF1",-0.810521158473051,6.23263154201412,16.1345986887385,0.000413428289046247,0.00747987181412902
"TOMM6",-0.630995537160032,6.43724486662464,15.2989366872525,0.000547064326633487,0.00974769163819667
"CCDC28A",-0.973219896524341,3.93485325790822,15.071381493053,0.000591055432845804,0.0102109960505303
"FOXQ1",-5.85663958587862,-1.92518500170272,15.3488061351352,0.000596809552105034,0.0102109960505303
"CD164",-0.803539492890625,9.12804705452713,15.1067249731296,0.000603731188193215,0.0102109960505303
"EPB41L2",-0.700947517147779,6.09045273615992,14.9834700439269,0.000609059582477208,0.0102109960505303
"STX7",-0.721625145255623,6.16536608750388,14.9480488970378,0.000616480203730995,0.0102109960505303
"TBCC",-0.716605163613309,5.5490365398227,14.868639125515,0.000633473098925686,0.0103467272824529
"DST",0.519731145247744,8.11689711965515,14.6431441663958,0.000684541827629319,0.011027687524549
"CCN2",1.80906018316202,10.3945701892979,17.1143985449855,0.000722470206926016,0.011481418423581
"LOC105374894",3.87986781721202,-0.643754434828754,14.2618099655913,0.000781294948604921,0.0122507047941252
"TPMT",-0.866110830982345,4.53681795789453,14.1435635107803,0.000814218877273203,0.0125989657851748
"TMEM14A",-0.730442648012165,6.12352318408814,14.0873586105478,0.000830390571652546,0.0126823287306934
"MED20",-0.884499655948894,4.67228270657429,13.9904051061704,0.000859107322663838,0.012952695018624
"TNFRSF21",3.12133401986367,4.11945826864681,16.2651002024095,0.000902176880316898,0.0133912477309472
"PNISR",0.712993781779266,5.69173886179481,13.823860867164,0.000910969233397772,0.0133912477309472
"ECI2",-0.635067569665755,5.64996133788332,13.6484661989188,0.00096926288362195,0.0140270654085571
"NDUFAF4",-0.801130719758384,4.77528077970931,13.6229384314508,0.00097807769005245,0.0140270654085571
"ENPP4",-0.990345078343019,4.0998414602076,13.3593362716532,0.00107433552642899,0.0152219105913313
"PPIL1",-0.73919396445201,4.70242642051996,13.0502414561562,0.00120042396798466,0.0168059355517853
"MRPL2",-0.743411506168037,4.88648457305031,13.0169333580396,0.00121493705115656,0.0168090114371778
"H2AC6",-0.59913351718588,7.15350282295615,12.9801712998177,0.00123117545342415,0.016835608525893
"GAPDHP63",-1.05698386979058,2.60508049007924,12.7503895799048,0.00133813958882434,0.0180879558213497
"RNGTT",-1.08303016016664,4.62088115436678,12.7861132304135,0.00135604390260388,0.0181216776075246
"VEGFA",2.30482746941896,7.23051529789578,14.1307790856674,0.00165511814479908,0.0218312471668568
"TRIM38",-0.655815930066222,5.15297990545912,12.1344702926709,0.00167764372261827,0.0218312471668568
"HINT3",-0.726989003024049,4.76272519078048,12.1157504744194,0.00168932269743534,0.0218312471668568
"QRSL1",-0.851700238525456,3.71032340714438,11.8674938587741,0.00185280604499779,0.0236836946621456
"KLC4",-0.802990579479104,4.01991905735578,11.5193904392816,0.00211152243685627,0.0267005417821825
"ACOT13",-0.61272460167331,5.08239083537683,11.3204589319012,0.00227672465938545,0.0284832787174179
"KATNA1",-0.674425327294439,4.5351775126866,10.9981085387772,0.00257487380954581,0.0315529352653465
"TNFAIP3",1.32263489012176,5.29646824984153,11.9276422578915,0.00260144944740603,0.0315529352653465
"PPIAP29",-0.839382192618899,3.04468362405656,10.9702276361168,0.00260258054484576,0.0315529352653465
"TMEM242",-0.600474648848001,5.2822341571917,10.836985231165,0.00273952341384883,0.0326682943991982
"ARMT1",-0.948554597458435,5.39689983113716,11.0327392307032,0.00275013702850393,0.0326682943991982
"COX7A2",-0.545765027832527,7.67274747379158,10.7907911811515,0.00278880581558404,0.0327963563912683
"DAAM2",0.965115476799653,3.72838948412137,10.7573935959652,0.00282503397150441,0.0328934648563286
"SMIM29",-0.518736664030392,5.66219832684105,10.675537121094,0.00291600190791899,0.0333888533353319
